Word	X.period_P1	X.period_P2
description	1,9657	-1,9657
aggregate	1,9657	-1,9657
respiration	1,9651	-1,9651
ni	1,9559	-1,9559
south	1,9559	-1,9559
transplant	1,9541	-1,9541
minnow	1,9541	-1,9541
regress	1,9541	-1,9541
macropores	1,9541	-1,9541
objective	1,9539	-1,9539
vertical	1,9523	-1,9523
m3	1,9509	-1,9509
empirical	1,9481	-1,9481
obtain	1,9434	-1,9434
compaction	1,9429	-1,9429
sugar	1,9429	-1,9429
hardwood	1,9429	-1,9429
alkalinity	1,9361	-1,9361
mark	1,9348	-1,9348
enclose	1,9307	-1,9307
coast	1,9268	-1,9268
uranium	1,9238	-1,9238
uganda	1,9238	-1,9238
duflow	1,9238	-1,9238
ruppia	1,9238	-1,9238
knife	1,9238	-1,9238
nh4no3	1,9238	-1,9238
remineralisation	1,9238	-1,9238
arma	1,9238	-1,9238
ruffe	1,9238	-1,9238
ley	1,9238	-1,9238
graph	1,9238	-1,9238
nmr	1,9238	-1,9238
dichlorvos	1,9238	-1,9238
iss	1,9238	-1,9238
nsga	1,9238	-1,9238
mind	1,9238	-1,9238
domesticus	1,9238	-1,9238
agr	1,9238	-1,9238
groyne	1,9238	-1,9238
attendant	1,9238	-1,9238
pt	1,9238	-1,9238
pers	1,9238	-1,9238
assume	1,9167	-1,9167
loamy	1,9163	-1,9163
cape	1,9163	-1,9163
renovation	1,9158	-1,9158
biosolid	1,9158	-1,9158
alp	1,9158	-1,9158
norwegian	1,9158	-1,9158
wasp5	1,9158	-1,9158
overpredicted	1,9158	-1,9158
bnr	1,9158	-1,9158
helsinki	1,9158	-1,9158
tract	1,9158	-1,9158
marina	1,9102	-1,9102
detritus	1,9065	-1,9065
deterministic	1,9064	-1,9064
big	1,9064	-1,9064
ea	1,8983	-1,8983
mcl	1,8983	-1,8983
propanil	1,8983	-1,8983
phillip	1,8983	-1,8983
unpolluted	1,8983	-1,8983
exemplify	1,8983	-1,8983
meter	1,897	-1,897
oxygenation	1,897	-1,897
versus	1,8864	-1,8864
west	1,8815	-1,8815
ne	1,8783	-1,8783
hollow	1,8759	-1,8759
necessitate	1,8759	-1,8759
physiographic	1,8759	-1,8759
food	1,8736	-1,8736
raw	1,8727	-1,8727
