Word	X.period_P1	X.period_P2
granularity	-1,8039	1,8039
reversal	-1,8039	1,8039
fade	-1,8039	1,8039
footprint	-1,8039	1,8039
mobile	-1,8036	1,8036
nonetheless	-1,7998	1,7998
faulty	-1,7998	1,7998
twin	-1,7998	1,7998
attenuation	-1,7998	1,7998
associate	-1,7998	1,7998
art	-1,7967	1,7967
gather	-1,7936	1,7936
anticipation	-1,7925	1,7925
recover	-1,7891	1,7891
resource	-1,767	1,767
provide	-1,7654	1,7654
observability	-1,756	1,756
sight	-1,756	1,756
accurate	-1,7537	1,7537
threat	-1,7515	1,7515
unbalance	-1,7515	1,7515
middle	-1,7492	1,7492
reference	-1,7485	1,7485
sustainable	-1,7463	1,7463
delay	-1,743	1,743
elimination	-1,7416	1,7416
transferability	-1,7416	1,7416
scalability	-1,7416	1,7416
synthesis	-1,7416	1,7416
vessel	-1,7292	1,7292
check	-1,7247	1,7247
adverse	-1,7158	1,7158
comparative	-1,7155	1,7155
hold	-1,7133	1,7133
country	-1,7117	1,7117
angle	-1,7117	1,7117
age	-1,7112	1,7112
stabilize	-1,7112	1,7112
vehicular	-1,7076	1,7076
antikink	-1,7073	1,7073
social	-1,7025	1,7025
integer	-1,6946	1,6946
huge	-1,6894	1,6894
external	-1,6884	1,6884
open	-1,6868	1,6868
search	-1,6849	1,6849
driver	-1,684	1,684
secure	-1,6814	1,6814
consumer	-1,6814	1,6814
sink	-1,6814	1,6814
worker	-1,6746	1,6746
ar	-1,6746	1,6746
mlp	-1,6746	1,6746
meta	-1,6746	1,6746
texture	-1,6746	1,6746
compete	-1,671	1,671
flood	-1,671	1,671
injection	-1,671	1,671
happen	-1,671	1,671
sensitivity	-1,6617	1,6617
feature	-1,6531	1,6531
game	-1,652	1,652
role	-1,6439	1,6439
east	-1,6428	1,6428
freight	-1,6409	1,6409
optimise	-1,6356	1,6356
hazmat	-1,6356	1,6356
ml	-1,6356	1,6356
arrival	-1,6332	1,6332
slot	-1,6242	1,6242
roadwork	-1,6242	1,6242
pervasive	-1,6217	1,6217
laser	-1,6217	1,6217
crack	-1,6217	1,6217
minibus	-1,6217	1,6217
plc	-1,6217	1,6217
kriging	-1,6217	1,6217
prague	-1,6217	1,6217
warm	-1,6217	1,6217
bag	-1,6217	1,6217
abandon	-1,6217	1,6217
bio	-1,6217	1,6217
google	-1,6217	1,6217
taguchi	-1,6217	1,6217
agricultural	-1,6217	1,6217
colombia	-1,6217	1,6217
powertrain	-1,6217	1,6217
achievement	-1,6217	1,6217
redistribute	-1,6217	1,6217
suppress	-1,6213	1,6213
protocol	-1,6147	1,6147
majority	-1,6019	1,6019
redistribution	-1,6006	1,6006
weaken	-1,6006	1,6006
underground	-1,6006	1,6006
ptws	-1,6006	1,6006
nest	-1,6006	1,6006
state	-1,5944	1,5944
wireless	-1,588	1,588
urbanization	-1,5856	1,5856
mechanism	-1,5783	1,5783
feedback	-1,572	1,572
physical	-1,5704	1,5704
emergency	-1,5671	1,5671
shockwave	-1,5665	1,5665
black	-1,5665	1,5665
correlation	-1,5647	1,5647
significance	-1,5607	1,5607
actuate	-1,5593	1,5593
style	-1,5593	1,5593
deploy	-1,557	1,557
nash	-1,5555	1,5555
quantification	-1,5555	1,5555
surrogate	-1,55	1,55
flexibility	-1,55	1,55
hamilton	-1,55	1,55
maximization	-1,5454	1,5454
insufficient	-1,5426	1,5426
alignment	-1,5426	1,5426
gnss	-1,5426	1,5426
midblock	-1,5426	1,5426
landslide	-1,532	1,532
republic	-1,532	1,532
mcmc	-1,532	1,532
adaptively	-1,532	1,532
cause	-1,5285	1,5285
validate	-1,5282	1,5282
literature	-1,5271	1,5271
crash	-1,5252	1,5252
baseline	-1,5135	1,5135
gaussian	-1,5041	1,5041
bi	-1,5008	1,5008
complement	-1,4997	1,4997
ultimately	-1,4997	1,4997
rmse	-1,4997	1,4997
panel	-1,4989	1,4989
connection	-1,4971	1,4971
los	-1,4915	1,4915
credit	-1,4876	1,4876
accept	-1,4775	1,4775
amount	-1,4753	1,4753
scarce	-1,4743	1,4743
weekly	-1,4743	1,4743
parameterized	-1,4743	1,4743
experimentation	-1,4743	1,4743
mega	-1,4743	1,4743
orthogonal	-1,4743	1,4743
assess	-1,4736	1,4736
depth	-1,4723	1,4723
leader	-1,47	1,47
v2x	-1,4674	1,4674
warn	-1,4628	1,4628
deflection	-1,4626	1,4626
greedy	-1,4626	1,4626
mod	-1,4626	1,4626
compare	-1,4574	1,4574
departure	-1,4547	1,4547
estimation	-1,4516	1,4516
rate	-1,445	1,445
adopt	-1,443	1,443
td	-1,4419	1,4419
deeply	-1,4419	1,4419
unman	-1,4419	1,4419
montreal	-1,4419	1,4419
customize	-1,4419	1,4419
solitary	-1,4419	1,4419
absorption	-1,4419	1,4419
overlook	-1,4419	1,4419
advise	-1,4419	1,4419
environmental	-1,4298	1,4298
preference	-1,4264	1,4264
wheel	-1,4238	1,4238
horizontal	-1,4238	1,4238
recurrent	-1,4185	1,4185
stationary	-1,4148	1,4148
latent	-1,4137	1,4137
populate	-1,4137	1,4137
exploit	-1,4109	1,4109
garch	-1,4093	1,4093
resistance	-1,4093	1,4093
private	-1,4085	1,4085
profile	-1,4038	1,4038
decade	-1,4029	1,4029
coordinate	-1,4022	1,4022
facility	-1,3918	1,3918
novelty	-1,3858	1,3858
emd	-1,3858	1,3858
inefficiency	-1,3858	1,3858
iteratively	-1,3858	1,3858
effect	-1,3851	1,3851
effective	-1,3844	1,3844
db	-1,3843	1,3843
scientific	-1,3803	1,3803
refer	-1,3794	1,3794
iv	-1,3783	1,3783
brt	-1,3783	1,3783
reductive	-1,3783	1,3783
acoustic	-1,3779	1,3779
kink	-1,3778	1,3778
perturbation	-1,377	1,377
indices	-1,3768	1,3768
pso	-1,3768	1,3768
auto	-1,3768	1,3768
understand	-1,3736	1,3736
trend	-1,3669	1,3669
traveller	-1,3572	1,3572
wise	-1,3522	1,3522
metro	-1,3522	1,3522
finding	-1,3348	1,3348
vulnerable	-1,3328	1,3328
uncontrolled	-1,3328	1,3328
aerial	-1,3328	1,3328
weibull	-1,3278	1,3278
farm	-1,3278	1,3278
morphology	-1,3278	1,3278
tandem	-1,3278	1,3278
downhill	-1,3278	1,3278
extreme	-1,3241	1,3241
failure	-1,3221	1,3221
gradually	-1,3184	1,3184
low	-1,3169	1,3169
chassis	-1,3162	1,3162
ineffective	-1,3162	1,3162
ec	-1,3162	1,3162
inevitable	-1,3162	1,3162
downward	-1,3162	1,3162
permissible	-1,3162	1,3162
convenience	-1,3162	1,3162
geospatial	-1,3162	1,3162
hv	-1,3162	1,3162
prioritization	-1,3162	1,3162
3rd	-1,3162	1,3162
cctv	-1,3162	1,3162
china_s	-1,3162	1,3162
prioritize	-1,3162	1,3162
software	-1,314	1,314
intelligence	-1,3138	1,3138
dissemination	-1,3079	1,3079
anomaly	-1,3079	1,3079
offset	-1,3042	1,3042
frequent	-1,3034	1,3034
peak	-1,3006	1,3006
grey	-1,3004	1,3004
radio	-1,3004	1,3004
signalised	-1,3004	1,3004
optimize	-1,2976	1,2976
diagram	-1,2954	1,2954
paradox	-1,2953	1,2953
workload	-1,2953	1,2953
efficiently	-1,2952	1,2952
domain	-1,2948	1,2948
residual	-1,2933	1,2933
classifier	-1,2921	1,2921
leg	-1,2906	1,2906
segmentation	-1,2904	1,2904
attraction	-1,2881	1,2881
generalise	-1,2881	1,2881
behavioral	-1,2834	1,2834
save	-1,2834	1,2834
cooperation	-1,2816	1,2816
comprehensive	-1,2767	1,2767
setting	-1,2767	1,2767
discharge	-1,2767	1,2767
motorize	-1,2664	1,2664
saint	-1,2649	1,2649
hbs	-1,2649	1,2649
wire	-1,2649	1,2649
audit	-1,2649	1,2649
malicious	-1,2649	1,2649
repetitive	-1,2649	1,2649
attractiveness	-1,2649	1,2649
conformity	-1,2649	1,2649
ion	-1,2649	1,2649
enumeration	-1,2649	1,2649
unclear	-1,2649	1,2649
redesign	-1,2649	1,2649
reconstruction	-1,2639	1,2639
hazardous	-1,26	1,26
income	-1,26	1,26
annual	-1,2591	1,2591
security	-1,2586	1,2586
beijing	-1,2558	1,2558
error	-1,254	1,254
parsimonious	-1,2431	1,2431
audio	-1,2431	1,2431
contamination	-1,2431	1,2431
selfish	-1,2431	1,2431
implement	-1,2338	1,2338
scatter	-1,2324	1,2324
recommend	-1,232	1,232
principle	-1,2288	1,2288
spillover	-1,2258	1,2258
evacuee	-1,2258	1,2258
entire	-1,2165	1,2165
placement	-1,2162	1,2162
candidate	-1,2162	1,2162
accident	-1,216	1,216
bypass	-1,2158	1,2158
revenue	-1,2158	1,2158
overcome	-1,2156	1,2156
jacobi	-1,2119	1,2119
weigh	-1,2082	1,2082
important	-1,2058	1,2058
valuable	-1,2053	1,2053
unknown	-1,2053	1,2053
relax	-1,205	1,205
radius	-1,205	1,205
abnormal	-1,205	1,205
centralize	-1,2029	1,2029
execute	-1,2029	1,2029
bay	-1,2024	1,2024
stand	-1,2024	1,2024
length	-1,1984	1,1984
alert	-1,1967	1,1967
copula	-1,1967	1,1967
nominal	-1,1967	1,1967
flyover	-1,1967	1,1967
foreground	-1,1967	1,1967
multinomial	-1,1967	1,1967
gear	-1,1967	1,1967
register	-1,1967	1,1967
real	-1,183	1,183
korteweg	-1,1817	1,1817
platform	-1,176	1,176
vries	-1,1739	1,1739
positive	-1,171	1,171
secondary	-1,171	1,171
minimization	-1,1662	1,1662
bottom	-1,1659	1,1659
unable	-1,1659	1,1659
chi	-1,1659	1,1659
uniquely	-1,1659	1,1659
benefit	-1,1643	1,1643
cps	-1,1617	1,1617
witness	-1,1617	1,1617
impair	-1,1617	1,1617
edie	-1,1617	1,1617
tourist	-1,1617	1,1617
exert	-1,1617	1,1617
float	-1,1459	1,1459
mtfc	-1,1451	1,1451
regulatory	-1,1451	1,1451
